itemid,boardid,userid,isSolvedTopic
50,180075,3072,1
50,180075,1628,1
50,180075,5890,1
16,181623,3898,0
16,183437,3898,0
16,183738,1564,1
15,186679,5173,0
50,186822,6176,1
50,186822,3072,1
50,186822,1628,1
50,186822,3401,1
50,186822,3760,1
50,186822,1297,1
16,187356,4905,0
16,187484,5073,1
16,187805,5716,1
50,188430,4195,1
50,188430,2255,1
50,189106,3898,0
38,190983,3898,0
15,192480,3898,0
15,192592,1811,1
41,192662,6313,1
15,194845,3898,1
50,195596,5739,0
50,195740,4195,0
50,196975,1177,1
29,198310,2917,1
16,198374,2917,1
127,200106,2848,0
16,200189,1811,1
50,200537,2121,1
16,200869,3898,1
22,201823,4729,0
16,201906,6201,0
16,203082,3898,1
16,203082,2490,1
25,203958,4669,0
50,205655,1177,0
50,205823,4195,1
16,212989,5036,0
15,213146,3898,1
50,213870,2325,0
33,213941,4846,1
50,214939,5890,0
22,215175,2232,1
50,217990,4195,0
186,221151,3898,0
186,221265,3768,0
186,221337,6302,0
186,223645,4841,0
186,223857,3898,0
22,224868,3898,1
25,225360,6351,0
15,225818,3898,0
89,227022,1453,0
50,227186,1177,0
50,227420,1177,0
15,227690,5043,0
15,227690,1511,0
15,228106,1453,1
15,228178,4841,0
15,228641,6200,1
186,228691,5739,0
50,228712,1177,1
50,228781,1177,1
15,230094,3898,1
50,230411,2121,1
186,231023,2676,0
127,231593,2848,0
16,231596,3898,0
22,231764,6345,1
22,231764,4783,1
15,231824,2205,1
15,231886,3898,1
50,231894,5890,0
16,231918,5292,1
46,231957,3733,1
27,232161,6397,0
27,232161,4774,0
17,232175,1628,0
17,232192,5794,0
22,232293,3733,0
16,232336,3898,1
25,232347,4774,0
25,232347,2158,0
50,232374,1177,0
50,232374,2205,0
15,232399,1453,0
15,232399,5381,0
15,232399,3733,0
25,232403,5043,1
25,232403,4774,1
17,232416,3733,1
17,232416,5381,1
17,232416,6366,1
17,232416,3917,1
17,232416,1511,1
17,232416,4841,1
17,232416,5381,1
17,232416,1511,1
17,232416,5381,1
25,232433,5850,0
17,232477,1628,0
38,232478,6040,0
38,232478,5381,0
38,232478,5089,0
38,232478,5381,0
15,232487,1453,0
17,232491,6176,0
17,232491,3733,0
15,232502,2158,1
50,232508,1177,0
50,232508,3760,0
38,232515,4547,0
38,232515,3733,0
38,232515,1960,0
38,232515,5381,0
17,232525,1628,1
16,232531,1628,1
15,232540,2158,1
15,232540,1045,1
15,232556,6366,0
15,232556,4547,0
17,232559,5292,1
17,232559,5176,1
17,232559,5292,1
22,232560,5292,1
16,232563,6345,1
16,232563,2158,1
16,232563,3917,1
16,232563,1511,1
16,232563,4841,1
16,232563,2355,1
16,232563,1511,1
16,232563,5686,1
16,232563,2158,1
16,232563,2355,1
16,232563,2158,1
127,232566,2848,0
16,232571,4547,1
16,232571,3898,1
16,232571,4937,1
16,232571,3898,1
16,232571,2123,1
16,232571,3898,1
29,232581,4580,0
16,232584,3733,0
16,232584,4937,0
16,232584,1511,0
16,232584,5381,0
16,232584,5292,0
16,232584,5485,0
16,232584,5292,0
16,232584,5485,0
16,232584,5292,0
16,232584,5176,0
16,232584,4169,0
16,232584,5292,0
22,232588,4547,0
22,232588,4937,0
22,232588,2158,0
22,232588,4841,0
22,232588,5381,0
22,232588,1365,0
22,232588,5292,0
22,232588,2158,0
22,232588,5292,0
22,232588,2158,0
22,232588,5292,0
22,232588,1365,0
22,232588,5292,0
22,232588,1365,0
22,232588,2158,0
22,232588,4169,0
22,232588,5292,0
41,232592,6345,1
41,232592,2158,1
41,232592,5686,1
41,232592,6313,1
41,232592,5292,1
41,232592,6313,1
41,232592,2158,1
41,232592,5292,1
41,232592,2658,1
41,232592,5292,1
41,232592,2658,1
41,232592,2158,1
41,232592,2658,1
41,232592,2158,1
41,232592,5292,1
41,232592,5176,1
41,232592,5292,1
29,232593,4783,1
29,232593,4841,1
29,232593,5292,1
15,232595,5292,1
15,232595,4937,1
15,232595,2158,1
15,232595,1511,1
15,232595,4841,1
15,232595,5292,1
15,232595,2158,1
15,232595,5292,1
15,232595,2158,1
15,232595,5176,1
15,232595,5292,1
15,232595,3593,1
15,232595,4169,1
15,232595,5292,1
15,232595,2123,1
10,232644,4169,0
10,232644,3733,0
10,232644,5381,0
10,232644,4783,0
10,232644,4841,0
10,232644,5292,0
10,232644,1511,0
10,232644,5292,0
10,232644,1511,0
10,232644,5176,0
10,232644,4783,0
31,232647,4783,0
31,232647,5292,0
31,232647,4580,0
50,232660,6176,0
50,232660,3072,0
38,936,2061,0
38,2296,4778,0
38,3215,4015,0
38,4776,2022,0
38,6287,1375,0
33,6416,5565,1
55,7334,3375,0
15,8404,1735,1
17,8598,2039,0
16,8643,1855,0
17,9181,6093,0
16,10222,5775,0
16,11167,1852,1
15,11402,1735,0
16,11635,1668,1
16,11876,2039,0
18,12549,5565,0
43,12584,1303,0
16,14010,5980,0
16,14698,6262,0
16,14698,1406,0
17,16511,2061,0
25,16814,2479,1
17,17525,5980,0
16,18852,5264,0
15,21182,5449,0
17,22170,4485,1
38,22696,6501,0
44,26462,3539,0
15,27090,2515,1
